Project name,Developer,Status,Operating year,Power capacity (MW),Building square footage,Land acres,CapEx,County,State,Latitude,Longitude,Source 1,Source 2,Source 3,Key community benefits,Permanent jobs predicted,Temporary construction jobs predicted,Local hire commitment,Workforce programs,Infrastructure commitments,Community opposition,Formal CBA?,Sources for community benefits,Est. power capacity (MW),Power capacity note,Last audited
Homer City Energy Campus,Homer City Redevelopment,Planned,2027,4500,,3200,10000000000,Indiana,PA,40.51371697,-79.19672638999998,https://www.datacenterdynamics.com/en/news/homer-city-and-kiewit-unveil-plans-for-45gw-natural-gas-powered-ai-data-center-in-pennsylvania/,,,Brownfield redevelopment of former coal plant; largest capital investment in PA history; local economic revitalization; reduced CO2 emissions 60-65% vs former coal plant; power to local grid,"~1,000 direct and indirect permanent positions","10,000+ direct on-site construction jobs","Not specified; developer committed to ""maximizing economic opportunity"" for Indiana County and region",Not specified,Utilizes existing transmission infrastructure connected to PJM and NYISO grids; on-site power generation,"Environmental concerns about air quality; rushed permit process (500+ public comments); Clean Air Council opposed permit calling it ""death sentence"" for toxic emissions; concerns about long-term community benefits vs. IT jobs going elsewhere; some local farmers approached to sell land",No,https://www.homercityredevelopment.com; https://technical.ly/civics/homer-city-indiana-county-pennsylvania-data-center-permit-approval/; https://www.wesa.fm/environment-energy/2025-04-15/homer-city-coal-power-plant-gas-fired-data-center,,,
High Performance Compute Data Center Campus,Joule Capital Partners,Under Construction,2026,4000,,4000,,Millard,UT,39.1997678,-112.3689572,https://www.ksl.com/article/51355852/worlds-largest-data-center-campus-could-be-coming-to-central-utah,,,Economic diversification for rural agricultural county; self-generated power to avoid strain on local grid; high-paying tech jobs for youth retention; tax revenue for county,"Not specified; described as ""high-paying jobs"" for region",Not specified,Commissioner pledged revenues will benefit all citizens; discussions about school partnerships,Commissioner hopes for partnerships with local schools for job training and apprenticeships,Self-contained power generation (1.3 GW initial); own water rights; closed-loop cooling system; no strain on local grid,Some residents concerned about industrial development in rural area; sheriff raised concerns about increased traffic on rural roads near schools; desire to preserve rural character,No,https://www.ksl.com/article/51402125/groundbreaking-for-new-millard-county-artificial-intelligence-data-center; https://www.deseret.com/utah/2025/10/21/millard-county-data-center-to-break-ground-and-bring-promise-to-rural-utah/,,,
Sailfish Comanche Circle,Sailfish Digital Ventures,Planned,2028,3200,,,,Hood,TX,,,https://www.datacenterdynamics.com/en/news/sailfish-plans-multi-gigawatt-data-center-park-outside-dfw-texas/,,,"Potential tax revenue for small town of Tolar (pop. ~1,000); infrastructure investment",Not specified,Not specified,Not specified,Not specified,On-site natural gas power generation; proximity to Comanche Peak Nuclear Plant,No significant opposition reported yet; project still in early planning stages,No,https://www.datacenterdynamics.com/en/news/sailfish-plans-multi-gigawatt-data-center-park-outside-dfw-texas/,,,
TECfusions Keystone Connect,TECfusions,Planned,2031,3000,500000,1395,,Westmoreland,PA,40.5475375,-79.6493059,https://www.prnewswire.com/news-releases/tecfusions-unveils-massive-1400-acre-data-center-project-in-pennsylvania-revitalizing-former-industrial-plant-302350041.html,,,Adaptive reuse of shuttered Alcoa R&D campus; revitalization of former industrial site; positions Westmoreland County as tech hub; may provide excess power to local grid,Thousands of high-quality jobs (construction and operations); potential jobs for former Alcoa employees,"Included in ""thousands"" estimate",Focus on jobs for former Alcoa employees; local workforce development mentioned,Training and development programs mentioned; collaboration with local institutions referenced,On-site natural gas power generation with microgrid capabilities; may export excess power to grid,No significant opposition reported; project welcomed by local officials,No,https://www.prnewswire.com/news-releases/tecfusions-unveils-massive-1400-acre-data-center-project-in-pennsylvania-revitalizing-former-industrial-plant-302350041.html,,,
Gainseville Data Center,Microsoft,Planned,,2982,3800000,124,,Prince William,VA,38.7914246,-77.58451379999998,https://archive.is/oeXEe#selection-1063.108-1063.128,https://drive.google.com/file/d/18dJxlS8OOJNQqbLP3nxWFihWSRQs1JWE/view?usp=drive_link,,Tax revenue for county; support for local schools and services,Not specified for this specific project,Not specified,Not specified,Microsoft offers Datacenter Academy programs and STEM education support,Requires significant grid infrastructure buildout by Dominion Energy,"INTENSE OPPOSITION: Lawsuits from residents (Katy Burke et al., Oak Valley HOA); one rezoning declared ""void ab initio""; proximity to Civil War battlefield (Manassas); concerns about noise, diesel generators (9,000+ in region), water use, quality of life; Coalition to Protect Prince William County active opposition; data center backlash drove 2025 special election",No,https://www.insidenova.com/news/prince_william/; https://www.washingtonpost.com/dc-md-va/2023/12/13/prince-william-digital-gateway-data-centers/,,,
North Creek Tech Campus,Amazon,Planned,,2700,8700000,1440,,Louisa,VA,37.96837812,-77.95334144999998,https://www.pecva.org/region/culpeper/existing-and-proposed-data-centers-a-web-map/,https://www.nao.usace.army.mil/Media/Public-Notices/Article/3952905/nao-2024-01939-amazon-data-services-louisa-virginia/,https://drive.google.com/file/d/18dJxlS8OOJNQqbLP3nxWFihWSRQs1JWE/view?usp=drive_link,"Significant tax revenue ($25M+ annually from $11B investment); diversification of rural economy; funding for schools, public safety, infrastructure",Hundreds of jobs; AWS to be one of largest private employers in county,Not specified,AWS expressed interest in CTE curriculum collaboration with local schools,Interest in collaborating with Louisa County Public Schools on CTE curriculum for data center operations and maintenance,AWS paying for all water/sewer infrastructure; using Northeast Creek Reservoir for water; quieter water-cooling method,"Third proposed campus (7.2M sq ft) was WITHDRAWN in July 2025 after strong community pushback; concerns about water use, noise, loss of rural character; ""Don't Loudoun my Louisa"" movement; Town of Mineral formally opposed project",No,https://www.louisacounty.gov/3258/Community-UpdatePress-FAQs; https://virginiamercury.com/2025/07/28/amazon-pulls-louisa-county-data-center-proposal-after-strong-resistance/,,,
Birchwood AWS,Amazon,Planned,,2175,7250000,869,,King George,VA,38.26640245,-77.31772805999998,https://www.pecva.org/region/culpeper/existing-and-proposed-data-centers-a-web-map/,https://www.datacenterdynamics.com/en/news/amazon-takes-king-george-county-supervisors-to-court-over-denied-data-center-project/?utm_source=chatgpt.com,,Job creation and investment; community programs,Not specified,Not specified,Local skills training initiatives mentioned,Youth STEM and education programs; skills training for all ages,Not specified,Project DENIED by King George County supervisors; Amazon took county to court over denial; concerns about impacts on rural community,No,https://www.datacenterdynamics.com/en/analysis/the-amazon-factor-in-virginia/,,,
George Washington Village Data Center,Garrett Development Corporation,Planned,,2100,7900000,1042,,Stafford,VA,38.40892022,-77.44693146,https://www.pecva.org/region/culpeper/existing-and-proposed-data-centers-a-web-map/,https://cdn.staffordcountyva.gov/Planning%20and%20Zoning/Development%20Review%20Meetings-Applications/December%202024/GWV%20Data%20Center%20CUP/3-%20Impact%20Statement%20(10-15-24)%20-%20GWV%20Data%20Center.pdf,https://drive.google.com/file/d/18dJxlS8OOJNQqbLP3nxWFihWSRQs1JWE/view?usp=drive_link,Tax revenue; job creation,Not specified,Not specified,Not specified,Not specified,Not specified,"Part of broader Virginia data center opposition movement; general concerns about environmental impact, power infrastructure",No,https://www.pecva.org/region/culpeper/existing-and-proposed-data-centers-a-web-map/,,,
Richland Parish Data Center (Project Sucre),Meta,Planned,2029,2000,4000000,2250,10000000000,Richland,LA,32.507011,-91.636105,https://datacenters.atmeta.com/us-locations/,https://www.datacenterdynamics.com/en/news/meta-announces-4-million-sq-ft-louisiana-data-center-campus/,,$875M+ contracted with Louisiana businesses; $300M+ local infrastructure investment; $300K for community restoration projects; $15M to Entergy customer assistance program; $650M projected customer savings over 15 years; LEED Gold certification,"500+ direct jobs at 150%+ state average salary; 1,000+ indirect jobs; 1,500+ total","5,000 peak construction workers; 1,500-1,800 for power plant; 3,500-5,000 for substation/transmission",84% of contractors local to Northeast Louisiana (160+ Louisiana businesses); $875M contracted with Louisiana businesses in first year,$250K LCTCS Workforce Rapid Response funding to Delta Community College; robotics program support at Delhi Charter School; mixed reality workforce development at Richland Parish Schools; Community Action Grants program launching 2026,"$300M+ for roads, water, wastewater systems; three Entergy power plants (2,260 MW); substations; water quality restoration of 316-acre site in Bayou Pierre-Red River watershed",Relatively limited opposition compared to other projects; some concerns about sales tax exemptions and incentive costs,No,https://about.fb.com/news/2025/12/metas-richland-parish-data-center-supports-louisiana-economy-875-million-in-contracts/; https://datacenters.atmeta.com/richland-parish-data-center/; https://www.opportunitylouisiana.gov/metadatacenter,,,
Delta Gigasite,Fibernet,Planned,,2000,20000000,1200,,Millard,UT,39.51095,-112.580122,https://www.ksl.com/article/51355852/worlds-largest-data-center-campus-could-be-coming-to-central-utah,https://www.datacenterdynamics.com/en/news/fibernet-ceo-eyes-multi-gigawatt-data-center-campus-in-utah/,,Economic development for rural Millard County; tax revenue,Not specified,Not specified,Not specified,Not specified,Proximity to Intermountain Power Plant; various power sources available,Some general concerns about industrial development in rural area; part of broader Utah data center expansion,No,https://www.datacenterdynamics.com/en/news/fibernet-ceo-eyes-multi-gigawatt-data-center-campus-in-utah/,,,
